"identifier","date","rights","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_identifier","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","tub_accessrights","tub_affiliation","doi"
"oai:depositonce.tu-berlin.de:11303/20076","2023-09-27T08:28:32Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,1,0,0,1,0,9,1,1,1,1,"10.14279/depositonce-18874"
"oai:depositonce.tu-berlin.de:11303/19128","2023-06-06T14:13:52Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17925"
"oai:depositonce.tu-berlin.de:11303/22192","2024-07-31T10:15:49Z","https://creativecommons.org/licenses/by/4.0/",8,0,0,3,2,0,2,1,0,0,1,0,6,1,1,1,1,"10.14279/depositonce-20993"
"oai:depositonce.tu-berlin.de:11303/19651","2023-07-26T06:32:09Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-18450"
"oai:depositonce.tu-berlin.de:11303/11607","2021-08-17T12:20:46Z","https://creativecommons.org/licenses/by-nc/4.0/",4,0,0,3,2,0,2,1,0,2,1,0,6,1,1,1,4,"10.14279/depositonce-10493"
"oai:depositonce.tu-berlin.de:11303/21754","2024-08-22T12:01:06Z","https://creativecommons.org/licenses/by/4.0/",11,0,0,3,2,0,2,2,0,0,1,0,14,1,1,1,1,"10.14279/depositonce-20555"
"oai:depositonce.tu-berlin.de:11303/19623","2023-07-20T08:57:59Z","http://rightsstatements.org/vocab/InC/1.0/",1,0,0,3,1,0,2,1,0,1,1,0,5,1,1,1,4,"10.14279/depositonce-18422"
"oai:depositonce.tu-berlin.de:11303/19660","2023-07-31T12:17:58Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,0,1,0,7,1,1,1,1,"10.14279/depositonce-18459"
"oai:depositonce.tu-berlin.de:11303/19138","2023-06-15T06:58:20Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17935"
"oai:depositonce.tu-berlin.de:11303/21168","2024-03-07T09:42:56Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,0,1,0,8,1,1,1,1,"10.14279/depositonce-19968"
"oai:depositonce.tu-berlin.de:11303/6007","2016-11-30T14:07:57Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,2,0,2,1,0,1,1,0,12,1,1,1,4,"10.14279/depositonce-5591"
"oai:depositonce.tu-berlin.de:11303/17250","2022-08-03T09:45:10Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,0,1,0,5,1,1,1,4,"10.14279/depositonce-16029"
"oai:depositonce.tu-berlin.de:11303/14075","2022-01-04T13:01:53Z","https://choosealicense.com/licenses/gpl-3.0/",2,0,0,3,1,0,2,1,0,0,1,0,7,1,1,1,4,"10.14279/depositonce-12848"
"oai:depositonce.tu-berlin.de:11303/16922","2022-05-18T13:36:17Z","https://creativecommons.org/licenses/by-sa/4.0/",2,0,0,3,2,0,2,1,0,1,1,0,6,1,1,1,4,"10.14279/depositonce-15701"
"oai:depositonce.tu-berlin.de:11303/18934","2023-06-16T06:32:30Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,1,0,2,1,0,0,1,0,5,1,1,1,1,"10.14279/depositonce-17735"
"oai:depositonce.tu-berlin.de:11303/22024","2024-06-19T06:59:38Z","https://creativecommons.org/licenses/by/4.0/",7,0,0,3,2,0,2,1,0,0,1,0,12,1,1,1,1,"10.14279/depositonce-20825"
"oai:depositonce.tu-berlin.de:11303/9185","2019-06-13T10:31:00Z","https://creativecommons.org/licenses/by-sa/4.0/",1,0,0,3,2,0,2,1,0,1,1,0,6,1,1,1,4,"10.14279/depositonce-8271"
"oai:depositonce.tu-berlin.de:11303/11519","2020-07-23T07:39:40Z","https://choosealicense.com/licenses/gpl-3.0/",2,0,0,3,1,0,2,1,0,0,1,0,4,1,1,1,4,"10.14279/depositonce-10403"
"oai:depositonce.tu-berlin.de:11303/19121","2023-06-06T13:09:01Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17918"
"oai:depositonce.tu-berlin.de:11303/13421.3","2021-11-10T09:01:40Z","https://creativecommons.org/licenses/by-nc-nd/4.0/",7,0,0,3,1,0,2,1,0,0,1,0,4,1,1,1,4,"10.14279/depositonce-12205.3"
"oai:depositonce.tu-berlin.de:11303/21587","2024-04-25T06:11:22Z","https://choosealicense.com/licenses/lgpl-3.0/",2,0,0,3,2,0,2,1,0,0,1,0,7,1,1,1,1,"10.14279/depositonce-20387"
"oai:depositonce.tu-berlin.de:11303/17664","2022-11-14T14:11:54Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,0,1,0,9,1,1,1,1,"10.14279/depositonce-16449"
"oai:depositonce.tu-berlin.de:11303/6410","2017-06-26T12:37:09Z","http://rightsstatements.org/vocab/InC/1.0/",5,0,0,3,2,0,2,3,0,4,1,0,6,1,1,1,4,"10.14279/depositonce-5957"
