"identifier","date","rights","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_identifier","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","dcterms_accessRights","dcterms_spatial","dcterms_temporal","refubium_affiliation","refubium_funding","refubium_isSupplementTo","refubium_note","refubium_resourceType","refubium_series","doi"
"oai:refubium.fu-berlin.de:fub188/34063","2022","https://creativecommons.org/licenses/by/4.0/",3,0,0,1,1,0,2,1,1,0,1,0,9,1,1,1,0,0,3,2,0,0,0,0,"10.17169/refubium-33781"
"oai:refubium.fu-berlin.de:fub188/23231","2018-11-19","https://creativecommons.org/licenses/by/4.0/",3,0,0,1,1,0,2,3,1,0,1,0,4,2,1,1,2,1,2,0,1,0,0,0,"10.17169/refubium-1023"
"oai:refubium.fu-berlin.de:fub188/40943","2023","https://creativecommons.org/public-domain/cc0/",4,0,0,1,2,0,2,1,1,0,1,0,5,2,1,1,0,0,2,1,0,0,0,0,"10.17169/refubium-40664"
"oai:refubium.fu-berlin.de:fub188/34525","2022","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",4,2,0,1,1,0,2,3,1,0,1,0,11,1,1,1,1,1,3,1,2,2,0,0,"10.17169/refubium-34243"
"oai:refubium.fu-berlin.de:fub188/37723","2022","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",3,0,0,1,1,0,2,1,1,0,1,0,5,1,1,1,0,0,1,0,0,0,0,0,"10.17169/refubium-37438"
"oai:refubium.fu-berlin.de:fub188/24570","2019-05-12","https://creativecommons.org/licenses/by-sa/4.0/",29,0,0,1,1,0,2,4,1,0,1,0,10,2,1,1,0,0,4,2,3,0,0,0,"10.17169/refubium-2333"
"oai:refubium.fu-berlin.de:fub188/29666","2021","https://creativecommons.org/licenses/by-nc/4.0/",2,0,0,1,2,0,2,1,1,0,1,0,8,1,1,1,0,0,2,0,2,1,0,0,"10.17169/refubium-29410"
"oai:refubium.fu-berlin.de:fub188/39320","2023","https://creativecommons.org/public-domain/cc0/",1,0,0,1,1,1,2,1,0,0,1,0,4,2,1,2,0,0,1,0,0,0,1,2,"10.17169/refubium-39039"
"oai:refubium.fu-berlin.de:fub188/33715","2022","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",2,0,0,1,1,0,2,1,1,0,1,0,2,2,1,1,0,0,1,1,1,0,0,0,"10.17169/refubium-33435"
"oai:refubium.fu-berlin.de:fub188/27627","2020","https://creativecommons.org/licenses/by/4.0/",3,0,0,1,1,0,2,1,1,0,1,0,4,1,1,1,0,0,2,0,2,1,0,0,"10.17169/refubium-27381"
"oai:refubium.fu-berlin.de:fub188/45928","2024","https://creativecommons.org/public-domain/cc0/",4,1,0,1,2,0,2,1,1,0,1,0,9,3,1,1,1,1,2,1,0,1,0,0,"10.17169/refubium-45641"
"oai:refubium.fu-berlin.de:fub188/46043","2024","https://creativecommons.org/public-domain/cc0/",11,1,0,1,2,0,2,1,1,0,1,0,9,3,1,1,1,1,2,2,1,1,0,0,"10.17169/refubium-45753"
"oai:refubium.fu-berlin.de:fub188/45761","2024","https://creativecommons.org/licenses/by-nc/4.0/",12,0,0,1,1,0,2,1,1,0,1,0,5,1,1,1,0,0,2,0,0,0,0,0,"10.17169/refubium-45474"
